Price,Adj Close,Close,High,Low,Open,Volume
Ticker,XRP-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD
Datetime,,,,,,
2025-09-28 00:00:00+00:00,2.801795482635498,2.801795482635498,2.813776731491089,2.7961955070495605,2.8076486587524414,0
2025-09-28 01:00:00+00:00,2.7897112369537354,2.7897112369537354,2.80171537399292,2.7894906997680664,2.80171537399292,11803392
2025-09-28 02:00:00+00:00,2.7882235050201416,2.7882235050201416,2.792731761932373,2.7839739322662354,2.7898216247558594,0
2025-09-28 03:00:00+00:00,2.784257411956787,2.784257411956787,2.7911856174468994,2.781973361968994,2.788214683532715,0
2025-09-28 04:00:00+00:00,2.789013147354126,2.789013147354126,2.7900891304016113,2.7821383476257324,2.7840936183929443,0
2025-09-28 05:00:00+00:00,2.7829654216766357,2.7829654216766357,2.792673349380493,2.7829654216766357,2.7891247272491455,0
2025-09-28 06:00:00+00:00,2.789458990097046,2.789458990097046,2.789458990097046,2.7791945934295654,2.7829203605651855,0
2025-09-28 07:00:00+00:00,2.7889888286590576,2.7889888286590576,2.790862560272217,2.785871982574463,2.7894365787506104,0
2025-09-28 08:00:00+00:00,2.7908761501312256,2.7908761501312256,2.793445110321045,2.7851741313934326,2.789004325866699,0
2025-09-28 09:00:00+00:00,2.7812254428863525,2.7812254428863525,2.7908935546875,2.779860496520996,2.7907493114471436,0
2025-09-28 10:00:00+00:00,2.7819466590881348,2.7819466590881348,2.78503680229187,2.7745866775512695,2.7809998989105225,0
2025-09-28 11:00:00+00:00,2.7777023315429688,2.7777023315429688,2.781960964202881,2.77468204498291,2.781960964202881,21882624
2025-09-28 12:00:00+00:00,2.7721569538116455,2.7721569538116455,2.7776710987091064,2.770050525665283,2.7776710987091064,37280256
2025-09-28 13:00:00+00:00,2.7881338596343994,2.7881338596343994,2.7881338596343994,2.771380662918091,2.772127389907837,31562496
2025-09-28 14:00:00+00:00,2.793224573135376,2.793224573135376,2.793224573135376,2.7833828926086426,2.787792444229126,23572224
2025-09-28 15:00:00+00:00,2.8085739612579346,2.8085739612579346,2.811769962310791,2.7936787605285645,2.7936787605285645,72540416
2025-09-28 16:00:00+00:00,2.8206353187561035,2.8206353187561035,2.8206353187561035,2.8067569732666016,2.808950662612915,101140480
2025-09-28 17:00:00+00:00,2.8253955841064453,2.8253955841064453,2.831341505050659,2.8227059841156006,2.8227059841156006,52639744
2025-09-28 18:00:00+00:00,2.830272674560547,2.830272674560547,2.830272674560547,2.8180453777313232,2.8253064155578613,0
2025-09-28 19:00:00+00:00,2.8283536434173584,2.8283536434173584,2.831519603729248,2.824232578277588,2.8301610946655273,0
2025-09-28 20:00:00+00:00,2.8437418937683105,2.8437418937683105,2.8452823162078857,2.828214645385742,2.828434467315674,41508096
