Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD
Date,,,,,,
2025-03-31,105.7120132446289,105.7120132446289,135.69578552246094,104.0041275024414,124.64402770996094,26905638987
2025-04-07,128.58079528808594,128.58079528808594,133.75885009765625,96.58806610107422,105.7120132446289,37266523069
2025-04-14,137.77459716796875,137.77459716796875,141.8303680419922,123.72075653076172,128.5781707763672,23111871227
2025-04-21,148.24583435058594,148.24583435058594,156.04518127441406,134.1223602294922,137.77459716796875,25980591381
2025-04-28,143.98306274414062,143.98306274414062,153.86590576171875,140.71209716796875,148.2451629638672,18962481799
2025-05-05,173.02645874023438,173.02645874023438,179.62252807617188,141.6705322265625,143.98593139648438,31147604131
2025-05-12,173.89871215820312,173.89871215820312,184.7181854248047,164.22494506835938,173.03668212890625,31214858625
2025-05-19,175.72547912597656,175.72547912597656,187.27975463867188,159.64749145507812,173.83578491210938,32340427867
2025-05-26,157.7845458984375,157.7845458984375,179.2212677001953,150.84341430664062,175.7256622314453,23375569218
2025-06-02,152.4300994873047,152.4300994873047,163.39369201660156,141.90293884277344,157.7837371826172,20800484862
2025-06-09,152.81439208984375,152.81439208984375,168.0181121826172,141.43714904785156,152.4300994873047,29634062933
2025-06-16,131.61569213867188,131.61569213867188,158.60787963867188,126.82627868652344,152.81439208984375,27835620565
2025-06-23,153.35308837890625,153.35308837890625,154.42337036132812,131.16085815429688,131.61585998535156,24666868179
2025-06-30,151.87294006347656,151.87294006347656,159.63160705566406,145.212890625,153.35308837890625,24118787315
2025-07-07,161.1940155029297,161.1940155029297,167.92196655273438,147.78939819335938,151.8733367919922,32766354357
2025-07-14,181.54603576660156,181.54603576660156,184.36900329589844,157.60275268554688,161.1940155029297,49010789905
2025-07-21,188.73348999023438,188.73348999023438,205.87147521972656,176.41354370117188,181.54525756835938,62396567462
2025-07-28,161.95497131347656,161.95497131347656,194.65802001953125,156.0843505859375,188.7321014404297,40762795154
2025-08-04,182.90301513671875,182.90301513671875,185.916748046875,161.40118408203125,161.9629669189453,37567868422
2025-08-11,191.16482543945312,191.16482543945312,209.66685485839844,173.68667602539062,182.9030303955078,58084898521
2025-08-18,205.8523712158203,205.8523712158203,211.76023864746094,175.99241638183594,191.16448974609375,53539684768
2025-08-25,200.86354064941406,200.86354064941406,217.83670043945312,186.02505493164062,205.85543823242188,70955275167
2025-09-01,206.4681854248047,206.4681854248047,212.82351684570312,194.37802124023438,200.8618621826172,43077335553
2025-09-08,240.5576934814453,240.5576934814453,249.12413024902344,205.7173614501953,206.46453857421875,67314530700
2025-09-15,236.57545471191406,236.57545471191406,253.20989990234375,230.4840087890625,240.548095703125,51763763549
2025-09-22,210.7377471923828,210.7377471923828,236.8692626953125,191.12664794921875,236.57421875,58986265829
2025-09-29,228.6011962890625,228.6011962890625,236.7911834716797,204.56564331054688,210.73973083496094,52665564125
2025-10-06,197.508544921875,197.508544921875,237.32254028320312,173.52139282226562,228.60110473632812,73391827073
2025-10-13,187.79820251464844,187.79820251464844,211.10504150390625,174.74417114257812,197.51219177246094,64354014017
2025-10-20,200.02862548828125,200.02862548828125,200.6212158203125,177.6731414794922,187.79830932617188,41764660645
2025-10-27,187.8259735107422,187.8259735107422,205.02005004882812,179.2217254638672,200.02748107910156,43209417585
2025-11-03,164.45384216308594,164.45384216308594,188.7412109375,146.7495574951172,187.8260498046875,49507064143
2025-11-10,137.26573181152344,137.26573181152344,171.6073455810547,134.96566772460938,164.45126342773438,41303100114
2025-11-17,130.70506286621094,130.70506286621094,144.3306121826172,122.27206420898438,137.26535034179688,46627097393
2025-11-24,136.85711669921875,136.85711669921875,140.3466339111328,128.54151916503906,130.70603942871094,15146666782
