Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2025-11-22,84648.359375,84648.359375,85503.0078125,83490.8984375,85098.5625,40793099246
2025-11-23,86805.0078125,86805.0078125,88038.46875,84641.7734375,84648.609375,58083435576
2025-11-24,88270.5625,88270.5625,89206.3359375,85272.1953125,86798.7734375,74433896110
2025-11-25,87341.890625,87341.890625,88457.3359375,86131.4296875,88269.9609375,64837343545
2025-11-26,87009.296875,87009.296875,88051.15625,86445.109375,87334.421875,57895792640
