Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD
Date,,,,,,
2025-11-22,833.35107421875,833.35107421875,841.4924926757812,815.2092895507812,830.0795288085938,2015396840
2025-11-23,843.2247924804688,843.2247924804688,854.4036865234375,833.2874755859375,833.3475952148438,1754920246
2025-11-24,864.421142578125,864.421142578125,875.2612915039062,832.0480346679688,843.2236328125,2485800089
2025-11-25,862.1080322265625,862.1080322265625,866.9095458984375,838.9786376953125,864.4609985351562,2007620452
2025-11-26,862.556396484375,862.556396484375,868.7735595703125,852.998046875,862.2369384765625,1812061824
